tienda,nombre,marca,precio,stock,categoria,url,imagen
Plaza Vea,Arroz Extra Añejo FARAON Naranja Bolsa 5kg,FARAON,20.9,Sí,Abarrotes / Arroz / Arroz Extra,https://www.plazavea.com.pe/arroz-extra-faraon-bolsa-5kg/p,https://plazavea.vteximg.com.br/arquivos/ids/21216691-184-184/20139617.jpg?v=638034912871130000
Plaza Vea,Arroz Extra COSTEÑO Bolsa 5Kg,COSTEÑO,19.9,Sí,Abarrotes / Arroz / Arroz Extra,https://www.plazavea.com.pe/arroz-extra-costeno-bolsa-5kg/p,https://plazavea.vteximg.com.br/arquivos/ids/27552451-184-184/641425.jpg?v=638313121271170000
Plaza Vea,Arroz Extra BELL'S Bolsa 5Kg,BELL'S,16.2,Sí,Abarrotes / Arroz / Arroz Extra,https://www.plazavea.com.pe/arroz-extra-bell-s-bolsa-5kg/p,https://plazavea.vteximg.com.br/arquivos/ids/31247269-184-184/19073.jpg?v=638808463416570000
Plaza Vea,Arroz Extra COSTEÑO Bolsa 750g,COSTEÑO,4.9,Sí,Abarrotes / Arroz / Arroz Extra,https://www.plazavea.com.pe/arroz-extra-costeno-bolsa-750g/p,https://plazavea.vteximg.com.br/arquivos/ids/27552446-184-184/433778.jpg?v=638313120991600000
Plaza Vea,Arroz Extra Añejo VALLENORTE Gran Reserva Bolsa 5Kg,VALLENORTE,19.9,Sí,Abarrotes / Arroz / Arroz Extra,https://www.plazavea.com.pe/arroz-extra-vallenorte-bolsa-5kg/p,https://plazavea.vteximg.com.br/arquivos/ids/8558597-184-184/32119.jpg?v=637835010947300000
Plaza Vea,Arroz Añejo Extra COSTEÑO Bolsa 5Kg,COSTEÑO,19.9,Sí,Abarrotes / Arroz / Arroz Extra,https://www.plazavea.com.pe/arroz-anejo-extra-costeno-bolsa-5kg/p,https://plazavea.vteximg.com.br/arquivos/ids/29654260-184-184/20385716.jpg?v=638899157630000000
Plaza Vea,Arroz Extra PAISANA Bolsa 5Kg,PAISANA,22.9,Sí,Abarrotes / Arroz / Arroz Extra,https://www.plazavea.com.pe/arroz-extra-paisana-bolsa-5kg/p,https://plazavea.vteximg.com.br/arquivos/ids/561147-184-184/20130998.jpg?v=637427421679930000
Plaza Vea,Arroz Extra GRAN CHALAN Bolsa 5Kg,GRAN CHALAN,25.4,Sí,Abarrotes / Arroz / Arroz Extra,https://www.plazavea.com.pe/arroz-extra-gran-chalan-bolsa-5-kg/p,https://plazavea.vteximg.com.br/arquivos/ids/29269303-184-184/20356924.jpg?v=638576642956700000
Plaza Vea,Arroz Extra VALLENORTE Gran Reserva Bolsa 750g,VALLENORTE,3.8,Sí,Abarrotes / Arroz / Arroz Extra,https://www.plazavea.com.pe/arroz-extra-vallenorte-gran-reserva-bolsa-750g/p,https://plazavea.vteximg.com.br/arquivos/ids/16382180-184-184/20256624.jpg?v=637970165691300000
Plaza Vea,Arroz Integral VALLENORTE Bolsa 750g,VALLENORTE,5.6,Sí,Abarrotes / Arroz / Arroz Integral y Especiales,https://www.plazavea.com.pe/arroz-integral-vallenorte-bolsa-750g/p,https://plazavea.vteximg.com.br/arquivos/ids/561910-184-184/20197995.jpg?v=637427448131830000
Plaza Vea,Arroz FARAON Añejo Amarillo G3 Bolsa 5kg,FARAON,20.99,Sí,Abarrotes / Arroz / Arroz Superior,https://www.plazavea.com.pe/arroz-superior-faraon-bolsa-5kg/p,https://plazavea.vteximg.com.br/arquivos/ids/561261-184-184/20139619.jpg?v=637427425471400000
Plaza Vea,Arroz Extra FARAON Bolsa 750g,FARAON,4.0,Sí,Abarrotes / Arroz / Arroz Extra,https://www.plazavea.com.pe/arroz-extra-faraon-bolsa-750g/p,https://plazavea.vteximg.com.br/arquivos/ids/21216689-184-184/20139618.jpg?v=638034912786870000
Plaza Vea,Arroz Extra PAISANA Bolsa 1Kg,PAISANA,5.8,Sí,Abarrotes / Arroz / Arroz Extra,https://www.plazavea.com.pe/arroz-extra-paisana-bolsa-1kg/p,https://plazavea.vteximg.com.br/arquivos/ids/561145-184-184/20131000.jpg?v=637427421617230000
Plaza Vea,Arroz Superior PAISANA Bolsa 5Kg,PAISANA,21.9,Sí,Abarrotes / Arroz / Arroz Superior,https://www.plazavea.com.pe/arroz-superior-paisana-bolsa-5kg/p,https://plazavea.vteximg.com.br/arquivos/ids/561146-184-184/20130591.jpg?v=637427421648030000
Plaza Vea,Arroz Integral BELL'S Bolsa 5Kg,BELL'S,18.8,Sí,Abarrotes / Arroz / Arroz Integral y Especiales,https://www.plazavea.com.pe/arroz-integral-bells-bolsa-5kg/p,https://plazavea.vteximg.com.br/arquivos/ids/5002517-184-184/20115961.jpg?v=637768218742900000
Plaza Vea,Arroz Extra BELL'S Bolsa 750g,BELL'S,2.8,Sí,Abarrotes / Arroz / Arroz Extra,https://www.plazavea.com.pe/arroz-extra-bells-bolsa-750g/p,https://plazavea.vteximg.com.br/arquivos/ids/5002519-184-184/2145.jpg?v=637768218799670000
Plaza Vea,Arroz Integral BELL'S Bolsa 750g,BELL'S,3.0,Sí,Abarrotes / Arroz / Arroz Integral y Especiales,https://www.plazavea.com.pe/arroz-integral-bells-bolsa-750g/p,https://plazavea.vteximg.com.br/arquivos/ids/19527084-184-184/20064454.jpg?v=638011352353100000
Plaza Vea,Arroz GRAN CHALAN Extra Añejo Bolsa 750gr,GRAN CHALAN,4.3,Sí,Abarrotes / Arroz / Arroz Extra,https://www.plazavea.com.pe/arroz-gran-chalan-extra-anejo-bolsa-750gr/p,https://plazavea.vteximg.com.br/arquivos/ids/29451172-184-184/20429876.jpg?v=638616396097400000
